network,country,country_code,continent,continent_code,asn,as_name,as_domain,type
2a01:e140:0:200::/55,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:400::/54,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:800::/53,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:1000::/52,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:2000::/51,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:4000::/50,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:8000::/49,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10::/64,The Netherlands,NL,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:1::/64,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:2::/63,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:4::/62,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:8::/61,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:10::/64,The Netherlands,NL,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:11::/64,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:12::/63,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:14::/62,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:18::/61,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:20::/59,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:40::/58,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:80::/57,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
